Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:23YtNuZf92xMntIAUgQBV3,"En rouge et noir","Femmes d'aujourd'hui (Edition Deluxe)","Jeanne Mas",1986,268240,52,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:11:36Z,"variété française,chanson,pop française","Parlophone (France)",0.765,0.612,9,-7.868,1,0.0305,0.142,0.0000116,0.171,0.582,127.122,4
spotify:track:38LHrcQIVbJJtS8H3xfCKn,"Capitaine abandonné","Incontournable Gold","Gold",2022-12-23,235173,56,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:11:43Z,"variété française,chanson","BMG Rights Management France SARL",0.755,0.859,10,-9.922,1,0.0626,0.0965,0.0000441,0.0663,0.956,133.33,4
spotify:track:0YJjl4SSIBx3h7L5M9OgiG,"Le Jerk","Pop music","Thierry Hazard",1990-11-26,235666,55,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:11:47Z,"variété française","BMG Rights Management France SARL",0.656,0.78,10,-5.812,1,0.0818,0.214,0,0.0419,0.923,109.787,4
spotify:track:3R4rbnUNQKpKo588EFOqTl,"Cette année-là","Le vagabond","Claude François",1976,192506,50,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:11:53Z,"variété française,chanson","Warner (France)",0.646,0.962,9,-4.544,0,0.215,0.182,0,0.0593,0.797,136.864,4
spotify:track:1zcFnMc6ULvzH8npblFGvy,"Magnolias for Ever","Magnolias for Ever","Claude François",1977,260280,51,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:12:04Z,"variété française,chanson","Warner (France)",0.588,0.938,11,-4.443,0,0.156,0.108,0.00000127,0.0717,0.938,126.086,4
spotify:track:2e9Sa881KIjKK0y86iNZ6C,"Alexandrie Alexandra","Magnolias for Ever","Claude François",1977,262186,51,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:12:10Z,"variété française,chanson","Warner (France)",0.752,0.75,9,-6.969,0,0.0315,0.235,0,0.0997,0.876,131.394,4
spotify:track:7MFWYTlrC81IGpb0Jwgdu7,"On va s'aimer","Liberté","Gilbert Montagné",2001-01-01,246826,60,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:12:14Z,"variété française,chanson","Universal Music Division Mercury Records",0.677,0.856,3,-7.177,1,0.0506,0.498,0.0000264,0.0659,0.949,105.977,4
spotify:track:3GfUHAoOSGy3hhEaTU34WV,"Il jouait du piano debout - Remasterisé en 2004","Paris, France (Remasterisé en 2004)","France Gall",1980,273626,59,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:12:21Z,"variété française,chanson,pop française,house française","Warner (France)",0.723,0.679,7,-6.774,0,0.0307,0.272,0.000211,0.064,0.859,117.392,4
spotify:track:51BbACodhBnd9lBs2TI0YT,"Résiste - Remasterisé en 2004","Tout pour la musique (Remasterisé en 2004)","France Gall",1981,274626,58,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:12:25Z,"variété française,chanson,pop française,house française","Warner (France)",0.578,0.751,7,-8.355,0,0.0306,0.527,0.0134,0.0484,0.667,102.905,4
spotify:track:496eQC5FPo3dmfNRXPcmps,"La groupie du pianiste - Remasterisé en 2002","Beauséjour (Remasterisé en 2002)","Michel Berger",1980-03-01,282813,58,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:13:04Z,"variété française,chanson,house française,pop française","Warner (France)",0.7,0.794,8,-8.191,1,0.0484,0.479,0.00028,0.0921,0.858,164.287,4
spotify:track:2KzUa9x2TNzHVsx4sVuHsx,"Encore et encore - Remastered","Photos de voyages (Remastered)","Francis Cabrel",1985,273680,59,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:13:10Z,"variété française,chanson,pop française,house française,chanson québécoise","Columbia",0.447,0.442,9,-10.76,0,0.0308,0.563,0.000045,0.225,0.404,176.245,4
spotify:track:2rkw1gqH62Tc9ydm9jsEJ1,"Tous les cris les S.O.S.","Sauver l'amour (Remastered)","Daniel Balavoine",1985-10-01,302866,58,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:13:19Z,"variété française,chanson,house française,pop française","Universal Music Division Barclay",0.587,0.817,11,-7.033,1,0.0782,0.209,0,0.137,0.349,110.543,4
spotify:track:62QQEK5BZPtOw0CvrBe9ho,"Quand on arrive en ville - Remasterisé en 2009","Starmania (Remasterisé en 2009)","Daniel Balavoine;Nanette Workman;Starmania",1978-09-10,217933,57,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:13:31Z,"variété française,chanson,house française,pop française,rock québécois,chanson québécoise","Warner (France)",0.69,0.94,0,-6.284,1,0.182,0.701,0,0.107,0.831,142.912,4
spotify:track:20D3Fsic2vS0YTeVqb1WZS,"Les murs de poussière - Remastered","Les murs de poussière (Remastered)","Francis Cabrel",1977-09-13,166266,55,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:14:03Z,"variété française,chanson,pop française,house française,chanson québécoise","Columbia",0.646,0.473,4,-10.372,1,0.0275,0.374,0.0029,0.256,0.773,116.365,4
spotify:track:6NQ1iVoOqcYKDdsrkLi1PK,"Sur la route de Memphis","Sur La Route De Memphis","Eddy Mitchell",1976,173933,51,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:14:12Z,"variété française,chanson,pop française,house française","Universal Music Division Barclay",0.681,0.62,3,-10.588,1,0.0266,0.308,0.0000146,0.0543,0.81,115.083,4
spotify:track:0tZdYg6Tf2aGq2C4FyNzwN,"Mon fils ma bataille","Un autre monde (Remastered)","Daniel Balavoine",1980-11-01,248748,59,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:14:41Z,"variété française,chanson,house française,pop française","Universal Music Division Barclay",0.676,0.927,9,-10.77,0,0.0282,0.01,0.00186,0.273,0.904,137.81,4
spotify:track:4JX3wJVOvUiMqhAe68Vn6z,"Trois nuits par semaine","Le Birthday album","Indochine",1991-10-28,289733,55,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:15:02Z,"variété française,chanson,pop française","Indochine Records",0.67,0.854,4,-6.479,1,0.0324,0.303,0,0.0969,0.918,127.016,4
spotify:track:6QSwxzWUeF0w4N7qRxonbb,"Au bout de mes rêves","Quand la musique est bonne","Jean-Jacques Goldman",1982-09-27,234986,56,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:15:17Z,"variété française,chanson,pop française,house française","Columbia",0.622,0.538,10,-13.737,1,0.03,0.0945,0,0.249,0.757,121.97,4
spotify:track:4msnxiNpg9Mvm6f0NMYFKx,"Le pouvoir des fleurs","Caché derrière","Laurent Voulzy",1992-06-15,215160,58,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:15:30Z,"variété française,chanson,pop française,house française","Ariola",0.601,0.777,0,-5.66,1,0.429,0.538,0,0.145,0.568,89.019,4
spotify:track:55n71kRF1x9bRgbByzyyUM,"Début d'empire","La cour des grands (Réédition)","Bigflo & Oli",2016-06-24,403080,32,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:16:17Z,"rap français,chanson,pop française","Universal Music Division Virgin Music",0.491,0.728,5,-6.292,0,0.112,0.134,0,0.16,0.148,96.798,4
spotify:track:1AhPGKrgOcdRfTGABLzl2i,"Les hommes aux yeux noirs","JVLIVS Prequel : Giulio","SCH",2024-05-31,213266,47,true,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:19:25Z,"rap français,pop urbaine","Maison Baron Rouge / WMF",0.713,0.591,3,-8.376,0,0.119,0.865,0.00136,0.115,0.218,87.018,4
spotify:track:6GzVDBNNPqBa465hLchSvQ,"Otto","JVLIVS","SCH",2018-10-19,289960,57,true,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:19:34Z,"rap français,pop urbaine","Rec. 118 / Maison Baron Rouge",0.42,0.553,0,-8.588,0,0.466,0.406,0.00197,0.541,0.198,80.118,4
spotify:track:3BDHFeYIrqGpL8HNkuI6zv,"Marché noir","JVLIVS II","SCH",2021-03-19,210973,50,true,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:20:11Z,"rap français,pop urbaine","Rec. 118",0.641,0.683,7,-5.549,0,0.043,0.409,0.00000171,0.203,0.303,90.039,4
spotify:track:4aie3id34NbdlJEaWNlKyZ,"Roule","L'Everest (Deluxe Edition)","Soprano",2016-10-14,238893,60,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:21:06Z,"rap français,chanson,pop française,r&b français,pop urbaine,variété française","Rec. 118",0.556,0.909,4,-9.982,1,0.0444,0.254,0.00058,0.0971,0.633,167.101,4
spotify:track:2UC5XnHA1Wn9FjQmbjNca9,"L'aventurier","L'aventurier","Indochine",1982,231960,65,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:21:47Z,"variété française,chanson,pop française","Indochine Records",0.585,0.828,1,-4.603,1,0.124,0.00906,0,0.0426,0.584,174.034,4
spotify:track:49FYlytm3dAAraYgpoJZux,"Umbrella","Good Girl Gone Bad: Reloaded","Rihanna;JAY-Z",2008-06-02,275986,83,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:21:59Z,"hip-hop,hip-hop east coast,rap","Def Jam Recordings",0.834,0.669,6,-5.582,0,0.0637,0.0341,0.0000718,0.0535,0.547,122.669,4
spotify:track:0ByMNEPAPpOR5H69DVrTNy,"Don't Stop The Music","Good Girl Gone Bad: Reloaded","Rihanna",2008-06-02,267080,84,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:22:03Z,"","Def Jam Recordings",0.751,0.834,1,-5.444,0,0.0437,0.3,0.0000177,0.355,0.894,95.053,4
spotify:track:6naxalmIoLFWR0siv8dnQQ,"Oops!...I Did It Again","Oops!... I Did It Again","Britney Spears",2000-05-16,211160,82,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:22:18Z,"pop","Jive",0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,4
spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,"...Baby One More Time","...Baby One More Time (Digital Deluxe Version)","Britney Spears",1999-01-12,211066,82,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:22:27Z,"pop","Jive",0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,4
spotify:track:6I9VzXrHxO9rA9A5euc8Ak,"Toxic","In The Zone","Britney Spears",2003-11-13,198800,84,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:22:35Z,"pop","Jive",0.664,0.759,2,-6.583,0,0.209,0.00238,0,0.0598,0.701,99.252,4
spotify:track:0TwBtDAWpkpM3srywFVOV5,"Crazy In Love (feat. JAY-Z)","Dangerously In Love","Beyoncé;JAY-Z",2003-03-10,235933,80,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:22:43Z,"hip-hop,hip-hop east coast,rap","Columbia",0.747,0.716,11,-2.457,0,0.0751,0.135,0,0.251,0.751,125.006,4
spotify:track:2EBCVPNAG46nbgs6jXPGvv,"Starships","Pink Friday: Roman Reloaded The Re-Up (Explicit Version)","Nicki Minaj",2012-01-01,210626,78,true,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:22:49Z,"","Nicki Minaj/Cash Money",0.712,0.522,9,-9.764,0,0.162,0.471,0,0.13,0.314,124.632,4
spotify:track:1A2PcPRoOZ7qgZd3XtDIh8,"Démons (La frustration) (feat. Laylow)","Sérotonine","Joanna;Laylow",2021-05-07,194517,41,true,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:23:24Z,"pop française,pop française indie,r&b français,rap français,rap marocain","BMG Rights Management France SARL",0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,4
spotify:track:6AI3ezQ4o3HUoP6Dhudph3,"Not Like Us","Not Like Us","Kendrick Lamar",2024-05-04,274192,87,true,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:24:38Z,"hip-hop,hip-hop west coast","Kendrick Lamar, under exclusive license to Interscope Records",0.63,0.656,5,-8.767,0,0.25,0.404,0,0.271,0.499,98.398,4
spotify:track:62BMJoCac6Ds90SrZAXANn,"POUR METTRE NOS NOMS SUR LA CARTE","WATERGATE: SCANDAL","Zeu",2024-06-30,108093,31,true,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:25:11Z,"rap français,drill","YOUTH RUTHLESS",0.936,0.887,9,-2.76,0,0.0683,0.0292,0.00000188,0.0582,0.889,127.003,4
spotify:track:2HYFX63wP3otVIvopRS99Z,"Houdini","Houdini","Eminem",2024-05-31,227239,76,true,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:26:30Z,"rap,hip-hop","Shady/Aftermath/Interscope Records",0.649,0.483,4,-8.875,0,0.329,0.0192,0.000091,0.102,0.401,78.125,4
spotify:track:59yjkTBdE1XzdVp7ukaWAB,"Sonic","High & Fines Herbes","Caballero & JeanJass;Luv Resval",2020-04-09,182466,42,true,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:27:02Z,"rap français","Universal Music Division Virgin Music",0.538,0.557,11,-8.678,1,0.0914,0.262,0.914,0.102,0.506,131.03,4
spotify:track:7H7NyZ3G075GqPx2evsfeb,"Chamber Of Reflection","Salad Days","Mac DeMarco",2014-04-01,231723,82,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:27:31Z,"indie,lo-fi indie","Captured Tracks",0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4
spotify:track:5XeFesFbtLpXzIVDNQP22n,"I Wanna Be Yours","AM","Arctic Monkeys",2013-09-09,183956,91,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:28:13Z,"indie,garage rock","Domino Recording Co",0.7,0.425,7,-12.531,1,0.0529,0.144,0.879,0.083,0.521,110.015,4
spotify:track:7BRD7x5pt8Lqa1eGYC4dzj,"CHIHIRO","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,303440,86,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:28:27Z,"","Darkroom/Interscope Records",0.694,0.691,11,-9.623,0,0.4,0.763,0,0.143,0.208,112.844,4
spotify:track:1Fp7ZR0wbD434E5Dr9Xkpt,"Any Mercy Forbidden","Any Mercy Forbidden","Karasuba",2024-04-17,151578,0,true,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:28:37Z,"","karasuba propaganda",0.668,0.44,9,-10.607,0,0.0801,0.822,0.00000398,0.0901,0.127,107.091,4
spotify:track:3iXhLi33EpUfcOwasC8un1,"Ta reine","Brol","Angèle",2018-10-05,213200,65,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:28:49Z,"pop française,variété française,chanson,pop française indie","Angèle VL Records",0.781,0.765,4,-7.732,0,0.162,0.164,0,0.259,0.621,103.928,4
spotify:track:3ia2hxHE3xwYFMVAYy1zls,"Baby (feat. Ashanti & Hamza) - Hamza Remix","Baby (feat. Ashanti & Hamza) [Hamza Remix]","Aitch;Ashanti;Hamza",2022-11-25,152973,38,true,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:29:17Z,"grime,grime uk,drill uk,drill,r&b,rap français,pop urbaine,r&b français","Capitol Records UK / EMI",0.935,0.613,1,-6.241,0,0.0662,0.268,0.0000031,0.0956,0.626,116.943,4
spotify:track:7gNlaZaMIjRUfnAYd9Dvmt,"Aristocrate","En esprit","Heuss L'enfoiré",2019-01-25,169733,56,true,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:30:33Z,"rap français,pop urbaine","AllPoints",0.706,0.584,1,-7.904,1,0.124,0.408,0.00000596,0.105,0.451,142.04,4
spotify:track:47yhjEwyOgNPPLHLL8OGLV,"Ça ira","Rooftop","SCH",2019-11-29,249280,46,true,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:31:09Z,"rap français,pop urbaine","Rec. 118",0.387,0.297,6,-14.608,0,0.0329,0.949,0.894,0.106,0.135,76.885,4
spotify:track:6jBT9MBVjX4kZ68IV6wHnH,"Moonlight Sonata (3rd Movement)","Moonlight Sonata (3rd Movement)","Rousseau",2018-10-02,429132,51,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:32:19Z,"piano classique,classique","Rousseau",0.54,0.907,0,-2.091,1,0.0357,0.108,0,0.114,0.603,155.024,4
spotify:track:3oJLF4CajKbrJSdxpXKXc8,"七色シンフォニー","COALAMODE．","COALAMODE.",2017-02-08,271640,47,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:32:43Z,"animé,j-pop","Sony Music Labels Inc.",0.349,0.0154,0,-26.107,1,0.0632,0.991,0.875,0.092,0.102,73.862,4
spotify:track:08hlaHY7ssHzr2MvBKyKvt,"Watashi No Uso (Your Lie in April Original Soundtrack)","Watashi No Uso (Your Lie in April Original Soundtrack)","Theishter",2016-12-25,240071,44,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:32:43Z,"animé","Theishter - Anime on Piano",0.439,0.197,9,-14.064,0,0.0493,0.972,0.262,0.058,0.122,127.833,4
spotify:track:5xBcsi2yvgbK3vLhUaVwxT,"Violin Sonata No. 9 in A Major, Op. 47 ""Kreutzer"": I. Adagio sostenuto – Presto","Beethoven: Violinsonaten Nr.2,5,9","Ludwig van Beethoven;Henryk Szeryng;Ingrid Haebler",1980-01-01,733840,37,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:32:43Z,"classique,piano classique,musique de chambre","Decca",0.421,0.0406,0,-31.008,1,0.0341,0.985,0.941,0.124,0.272,102.144,4
spotify:track:4yIj6G6Ux4d5hh7UcZK54J,"Twinkle Twinkle Little Star (Mozart Variation)","Mozart Effect","Brain Power Amadeus",2020-03-08,117400,42,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:32:43Z,"classique","Mozart Effect Piano",0.293,0.0888,9,-26.06,0,0.0457,0.938,0.78,0.0918,0.153,91.712,4
spotify:track:4jpMbRTTjZsoMW2I7D41G7,"Introduction and Rondo capriccioso in A Minor, Op. 28","Saint-Saens: Symphony No. 3 / Piano Concerto No. 2","Camille Saint-Saëns;Dong-Suk Kang;Polish National Radio Symphony Orchestra;Antoni Wit",1996-12-31,545333,40,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:32:43Z,"classique,orchestre symphonique,requiem","Naxos",0.408,0.0432,4,-25.578,1,0.0445,0.981,0.913,0.134,0.129,67.417,3
spotify:track:6dC6tHFtrVA2W9oxSEKVDV,"Étude in E Minor, Op. 25, No. 5","Horowitz: Favorite Chopin [Expanded Edition]","Frédéric Chopin;Vladimir Horowitz",1963,200320,35,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:32:43Z,"piano classique,classique","Sony Classical",0.407,0.343,6,-12.815,0,0.0313,0.954,0.9,0.132,0.533,89.326,4
spotify:track:1uAgeHkDTCPbZLiYOMXk3S,"Etude Op. 10 No. 4 (Torrent)","Etude Op. 10 No. 4 (Torrent)","Rousseau",2018-09-07,113632,47,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:32:43Z,"piano classique,classique","Rousseau",0.405,0.32,9,-12.279,0,0.0349,0.926,0.916,0.0821,0.144,109.652,4
spotify:track:3KzyuX9kfQVILw8xoDDxxT,"Etude, Op. 25 - No. 11 (Winter Wind)","Etude, Op. 25 - No. 11 (Winter Wind)","Frédéric Chopin;Rousseau",2019-12-19,225666,39,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:32:43Z,"piano classique,classique","Proximity",0.276,0.0771,9,-21.61,1,0.034,0.991,0.92,0.0963,0.0633,69.763,3
spotify:track:5zutcHvHUkZkUokND0MHlW,"Liebesleid","Liebesleid","Fritz Kreisler",2020-01-24,272023,36,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:32:43Z,"classique","Proximity",0.377,0.032,1,-23.584,1,0.0751,0.992,0.851,0.0855,0.0601,70.029,3
spotify:track:4RhCFJeYAeBNuEZIJzyC2F,"Clair De Lune","Clair De Lune","Claude Debussy;Rousseau",2019-10-09,291479,43,false,g4olm5cjfcdi3sp15n61v34j0,2024-08-14T21:32:43Z,"classique,piano classique","Proximity",0.445,0.189,10,-21.643,1,0.0335,0.991,0.853,0.128,0.45,116.24,4
